R_monomial,y_power,coefficient
R7^2,12,245/18432
R7^2,14,-1225/294912
R7*R8,12,343/55296
R7*R8,14,-1715/442368
R7*R9,14,-2401/3981312
R7*R9,16,12005/31850496
R8^2,14,-2401/2654208
R8*R9,16,16807/95551488
R9^2,18,-117649/13759414272
R2^2*R5,6,1
R2^2*R6,6,3/2
R2^2*R6,8,-17/48
R2^2*R7,6,1/2
R2^2*R7,8,-15/16
R2^2*R8,6,1/24
R2^2*R8,8,-43/96
R2^2*R8,10,673/4608
R2^2*R9,8,-7/144
R2^2*R9,10,77/576
R2^2*R10,10,49/2304
R2^2*R10,12,-245/18432
R2^2*R11,12,-343/82944
R2^2*R12,14,2401/7962624
R2*R3*R4,6,2
R2*R3*R5,6,2
R2*R3*R5,8,-5/4
R2*R3*R6,6,1/3
R2*R3*R6,8,-25/12
R2*R3*R6,10,119/576
R2*R3*R7,8,-7/12
R2*R3*R7,10,35/48
R2*R3*R8,8,-7/288
R2*R3*R8,10,133/384
R2*R3*R8,12,-4711/55296
R2*R3*R9,10,49/1728
R2*R3*R9,12,-3577/41472
R2*R3*R10,12,-343/27648
R2*R3*R10,14,1715/221184
R2*R3*R11,14,2401/995328
R2*R3*R12,16,-16807/95551488
R2*R4^2,6,1
R2*R4^2,8,-5/8
R2*R4*R5,6,1
R2*R4*R5,8,-37/24
R2*R4*R5,10,5/24
R2*R4*R6,6,1/6
R2*R4*R6,8,-17/24
R2*R4*R6,10,533/1152
R2*R4*R7,8,-7/48
R2*R4*R7,10,35/192
R2*R4*R7,12,-175/3072
R2*R4*R8,10,49/1152
R2*R4*R8,12,-245/9216
R2*R4*R9,12,-343/82944
R2*R4*R9,14,1715/663552
R2*R5^2,8,-7/12
R2*R5^2,10,7/36
R2*R5*R6,8,-7/72
R2*R5*R6,10,7/16
R2*R5*R6,12,-49/1728
R2*R5*R7,10,49/576
R2*R5*R7,12,-245/4608
R2*R5*R8,12,-343/13824
R2*R5*R9,14,2401/995328
R2*R6^2,10,49/3456
R2*R6^2,12,-1421/27648
R2*R6*R7,12,-343/27648
R2*R6*R7,14,1715/221184
R2*R6*R8,14,2401/663552
R2*R6*R9,16,-16807/47775744
R3^3,6,1/3
R3^2*R4,6,1/2
R3^2*R4,8,-43/48
R3^2*R5,8,-7/8
R3^2*R5,10,161/576
R3^2*R6,8,-7/72
R3^2*R6,10,301/576
R3^2*R6,12,-833/27648
R3^2*R7,10,49/384
R3^2*R7,12,-1225/9216
R3^2*R8,10,49/13824
R3^2*R8,12,-3479/55296
R3^2*R8,14,32977/2654208
R3^2*R9,12,-343/82944
R3^2*R9,14,1715/124416
R3^2*R10,14,2401/1327104
R3^2*R10,16,-12005/10616832
R3^2*R11,16,-16807/47775744
R3^2*R12,18,117649/4586471424
R3*R4^2,6,1/4
R3*R4^2,8,-29/48
R3*R4^2,10,215/768
R3*R4*R5,8,-7/12
R3*R4*R5,10,91/144
R3*R4*R5,12,-35/576
R3*R4*R6,8,-7/144
R3*R4*R6,10,287/1152
R3*R4*R6,12,-2233/13824
R3*R4*R7,10,49/1152
R3*R4*R7,12,-245/4608
R3*R4*R7,14,1225/73728
R3*R4*R8,12,-343/27648
R3*R4*R8,14,1715/221184
R3*R4*R9,14,2401/1990656
R3*R4*R9,16,-12005/15925248
R3*R5^2,10,49/192
R3*R5^2,12,-49/864
R3*R5*R6,10,49/1728
R3*R5*R6,12,-2107/13824
R3*R5*R6,14,343/41472
R3*R5*R7,12,-343/13824
R3*R5*R7,14,1715/110592
R3*R5*R8,14,2401/331776
R3*R5*R9,16,-16807/23887872
R3*R6^2,12,-343/82944
R3*R6^2,14,22295/1327104
R3*R6*R7,14,2401/663552
R3*R6*R7,16,-12005/5308416
R3*R6*R8,16,-16807/15925248
R3*R6*R9,18,117649/1146617856
R4^3,6,1/24
R4^3,8,-5/64
R4^3,10,25/512
R4^3,12,-125/12288
R4^2*R5,8,-7/96
R4^2*R5,10,35/384
R4^2*R5,12,-175/6144
R4^2*R6,10,49/4608
R4^2*R6,12,-245/18432
R4^2*R6,14,1225/294912
R4*R5^2,10,49/1152
R4*R5^2,12,-245/9216
R4*R5*R6,12,-343/27648
R4*R5*R6,14,1715/221184
R4*R6^2,14,2401/2654208
R4*R6^2,16,-12005/21233664
R5^3,12,-343/41472
R5^2*R6,14,2401/663552
R5*R6^2,16,-16807/31850496
R6^3,18,117649/4586471424
R2^3*R4,6,-1
R2^3*R5,6,-1
R2^3*R5,8,1/3
R2^3*R6,6,-1/6
R2^3*R6,8,29/48
R2^3*R7,8,7/48
R2^3*R7,10,-35/384
R2^3*R8,10,-49/1152
R2^3*R9,12,343/82944
R2^2*R3^2,6,-3/2
R2^2*R3*R4,6,-3/2
R2^2*R3*R4,8,29/16
R2^2*R3*R5,8,7/4
R2^2*R3*R5,10,-7/24
R2^2*R3*R6,8,7/48
R2^2*R3*R6,10,-21/32
R2^2*R3*R7,10,-49/384
R2^2*R3*R7,12,245/3072
R2^2*R3*R8,12,343/9216
R2^2*R3*R9,14,-2401/663552
R2^2*R4^2,6,-3/8
R2^2*R4^2,8,15/32
R2^2*R4^2,10,-75/512
R2^2*R4*R5,8,7/16
R2^2*R4*R5,10,-35/128
R2^2*R4*R6,10,-49/768
R2^2*R4*R6,12,245/6144
R2^2*R5^2,10,-49/384
R2^2*R5*R6,12,343/9216
R2^2*R6^2,14,-2401/884736
R2*R3^3,8,7/8
R2*R3^2*R4,8,7/8
R2*R3^2*R4,10,-77/96
R2*R3^2*R5,10,-49/64
R2*R3^2*R5,12,49/576
R2*R3^2*R6,10,-49/1152
R2*R3^2*R6,12,2107/9216
R2*R3^2*R7,12,343/9216
R2*R3^2*R7,14,-1715/73728
R2*R3^2*R8,14,-2401/221184
R2*R3^2*R9,16,16807/15925248
R2*R3*R4^2,8,7/32
R2*R3*R4^2,10,-35/128
R2*R3*R4^2,12,175/2048
R2*R3*R4*R5,10,-49/192
R2*R3*R4*R5,12,245/1536
R2*R3*R4*R6,12,343/9216
R2*R3*R4*R6,14,-1715/73728
R2*R3*R5^2,12,343/4608
R2*R3*R5*R6,14,-2401/110592
R2*R3*R6^2,16,16807/10616832
R3^4,10,-49/384
R3^3*R4,10,-49/384
R3^3*R4,12,2891/27648
R3^3*R5,12,343/3456
R3^3*R5,14,-343/41472
R3^3*R6,12,343/82944
R3^3*R6,14,-8575/331776
R3^3*R7,14,-2401/663552
R3^3*R7,16,12005/5308416
R3^3*R8,16,16807/15925248
R3^3*R9,18,-117649/1146617856
R3^2*R4^2,10,-49/1536
R3^2*R4^2,12,245/6144
R3^2*R4^2,14,-1225/98304
R3^2*R4*R5,12,343/9216
R3^2*R4*R5,14,-1715/73728
R3^2*R4*R6,14,-2401/442368
R3^2*R4*R6,16,12005/3538944
R3^2*R5^2,14,-2401/221184
R3^2*R5*R6,16,16807/5308416
R3^2*R6^2,18,-117649/509607936
R2^4*R3,6,1
R2^4*R4,6,1/2
R2^4*R4,8,-5/16
R2^4*R5,8,-7/24
R2^4*R6,10,49/1152
R2^3*R3^2,8,-7/6
R2^3*R3*R4,8,-7/12
R2^3*R3*R4,10,35/96
R2^3*R3*R5,10,49/144
R2^3*R3*R6,12,-343/6912
R2^2*R3^3,10,49/96
R2^2*R3^2*R4,10,49/192
R2^2*R3^2*R4,12,-245/1536
R2^2*R3^2*R5,12,-343/2304
R2^2*R3^2*R6,14,2401/110592
R2*R3^4,12,-343/3456
R2*R3^3*R4,12,-343/6912
R2*R3^3*R4,14,1715/55296
R2*R3^3*R5,14,2401/82944
R2*R3^3*R6,16,-16807/3981312
R3^5,14,2401/331776
R3^4*R4,14,2401/663552
R3^4*R4,16,-12005/5308416
R3^4*R5,16,-16807/7962624
R3^4*R6,18,117649/382205952
R2^6,6,-1/6
R2^5*R3,8,7/24
R2^4*R3^2,10,-245/1152
R2^3*R3^3,12,1715/20736
R2^2*R3^4,14,-12005/663552
R2*R3^5,16,16807/7962624
R3^6,18,-117649/1146617856
